Amount,BankId,BilledAmount,CancelAuthorization,CancelExecutionDate,CancelExternalId,CancelMetadata,CancelResultText,CancelStatus,CancelTransactionCode,Client,ClientId,CommerceId,CommerceName,CreationDate,CurrencyId,Installments,InstrumentId,InvoiceNumber,IsAnonymous,IssuerId,Items,Law,Metadata,PurchaseAppliedLaw,PurchaseAuthorization,PurchaseDiscount,PurchaseExecutionDate,PurchaseExpirationDate,PurchaseExternalid,PurchaseMetadata,PurchaseResultText,PurchaseStatus,PurchaseTicket,PurchaseTransactionCode,ReserveAuthorization,ReserveExecutionDate,ReserveExpirationDate,ReserveExternalId,ReserveMetadata,ReserveResultText,ReserveStatus,ReserveTransactionCode,TaxedAmount,TipAmount,TransactionId,TransactionState,User,UserId
492.00,0,"","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,1,RedPagos,1/31/2018 1:22:40 PM,1,"",68617c8d-2488-434e-ab6f-4f4ef2dc01cd,"",False,13,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","{""Provider"":""Midinero"",""Email"":""testingredpagos2@gmail.com"",""Cellphone"":""099123456"",""Name"":""Ismael San Martín"",""LastName"":""San Martín"",""FirstName"":""Ismael"",""Birthdate"":""20040109"",""RedPagosUserEnabled"":""1"",""AccountNumber"":""2936469"",""RedPagosProductNumber"":""42"",""Identification"":""1234567-8"",""IdentificationType"":""0"",""Expiration"":""12/99"",""InstrumentName"":""2936469 - Midinero local pago de haberes""}",0,129,"",1/31/2018 1:22:40 PM,"",117662,"","",0,236,0,"","","","","","","","","","",7d7ba17b-b545-428d-8cb0-000af2013145,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,e9ae2f22-b814-4813-8135-abd8bb8d9c80
1159.00,"","","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,4,0,"",5/4/2017 3:10:28 PM,1,"",23f89bd6-8069-418c-af67-54f9f48efb74,"",False,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","","","","","","","","","","","","","","","","","","","","","","",67d20601-06ba-4de3-97c1-000d15edc3a2,0,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,f28ee5ed-41df-437e-bef7-45e7e1fa4591
10.00,0,"","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,1,RedPagos,1/23/2018 12:25:08 PM,1,"",2eb1116b-57c7-45a1-99e1-570b7b2d1845,"",False,13,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","{""Provider"":""Midinero"",""Email"":""darrua@redpagos.com.uy"",""Phone"":""23456789"",""Cellphone"":""096902352"",""Name"":""Diego Arrúa"",""LastName"":""Arrúa"",""FirstName"":""Diego"",""Birthdate"":""19930125"",""RedPagosUserEnabled"":""0"",""AccountNumber"":""2936469"",""RedPagosProductNumber"":""42"",""Identification"":""1234567-8"",""IdentificationType"":""0"",""Expiration"":""12/99"",""InstrumentName"":""2936469 - Midinero local pago de haberes""}","","","",1/23/2018 12:25:10 PM,"",117314,"",An error occurred during the operation process.SocketException No connection could be made because the target machine actively refused it 127.0.0.1:5000,21,"",0,"","","","","","","","","","",a0845fbb-4980-4d21-b519-0014e5d3071b,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,01a6c380-80c7-491f-ba31-9cec8207c416
100.00,"","","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,0,"",6/30/2017 2:27:05 PM,1,"",3eb770f2-3b90-4581-a206-1984842f1c20,"",False,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","","","","","","","","","","","","","","","","","","","","","","",86593649-d343-45e9-b881-002a526bb3b1,0,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,a95a4c34-9fa4-4103-a1f4-7bbf2a52a2db
650.00,"",650.00,"","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,10,0,"",7/19/2017 1:57:26 AM,1,"",d0d82994-fcf6-4fb7-97ae-f4e253aef649,284591,True,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],0,"","","","","","","","","","","","","","","","","","","","",650.00,"",c5911b51-0e36-4987-8084-005d350de5f4,0,"",""
1234.00,"","","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,0,"",6/1/2017 2:50:16 PM,1,"",cb947c0d-f4f2-4121-95ca-0661d331cb57,"",False,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","","","","","","","","","","","","","","","","","","","","","","",c0125f48-5e22-4be1-9715-0060bb28bfea,0,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,0d97fade-98c1-40be-bd10-72917fffcd81
2707.23,"","","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,0,"",8/22/2017 2:22:43 PM,1,"",e7541211-c084-4cb9-8baa-04d420491af4,"",False,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","","","","","","","","","","","","","","","","","","","","","","",775d7fe0-3b26-45fd-8dd5-0093c1dd8546,0,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,a95a4c34-9fa4-4103-a1f4-7bbf2a52a2db
650.00,"",650.00,"","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,10,0,"",7/18/2017 8:30:17 PM,1,"",6080e049-2003-44ee-92d1-6a5f2046d639,284516,True,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],0,"","","","","","","","","","","","","","","","","","","","",650.00,"",40ff7ef1-248f-47b4-a4e9-0094cbabe900,0,"",""
62.86,0,"","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,1,RedPagos,2/20/2018 2:10:35 PM,1,"",33006283-b1c8-4908-b6e2-5232643e1df3,"",False,13,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","{""Provider"":""Midinero"",""Email"":""falegre@handsoft.com.uy"",""Cellphone"":""097646665"",""Name"":""Svanbsasdfd Primer Apellido"",""LastName"":""Primer Apellido"",""FirstName"":""Svanbsasdfd"",""Birthdate"":""19871129"",""RedPagosUserEnabled"":""1"",""AccountNumber"":""2936469"",""RedPagosProductNumber"":""42"",""Identification"":""2854554-5"",""IdentificationType"":""0"",""Expiration"":""12/99"",""InstrumentName"":""2936469 - Midinero local pago de haberes""}",0,144,"",2/20/2018 2:10:36 PM,"",118835,"","",0,252,0,"","","","","","","","","","",76ea84a7-6e1c-42c1-a2f2-00ab7348fb1f,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,eb73c03a-187c-44f5-85bb-cfb00f579823
1008.60,0,"","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,1,RedPagos,10/30/2017 8:59:33 PM,1,"",bf655449-656c-489e-830e-d01605ca9f62,"",False,19,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","{""Provider"":""Midinero2"",""Email"":""nxnd007@gmail.com"",""Name"":""Plexo Prueba"",""LastName"":""Prueba"",""FirstName"":""Plexo"",""Birthdate"":""20030801"",""RedPagosUserEnabled"":""1"",""AccountNumber"":""ACM234CASU435"",""RedPagosProductNumber"":""42"",""Identification"":""3133733"",""IdentificationType"":""1"",""Expiration"":""12/99"",""InstrumentName"":""1860008 - Redapgos Internacional Multiproposito""}","",31240,"",10/30/2017 8:59:35 PM,"",85611,"",Operacion denegada Codigo: 62,10,"",62,"","","","","","","","","","",57e68deb-961a-44fe-a665-00b95e2f839b,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,1735c87e-d372-4ecb-a0ae-f5e43ce24ee0
3138.80,"","","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,0,"",6/21/2017 11:53:00 AM,1,"",9bb304d7-a021-4a94-a043-3d7e3510de27,"",False,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","","","","","","","","","","","","","","","","","","","","","","",ce00e45c-3464-4772-aeca-00bf8491752a,0,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,0d97fade-98c1-40be-bd10-72917fffcd81
122.00,0,122.00,"","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,13,9,Bros,9/19/2017 7:29:19 PM,1,1,72307929-f47e-4e5e-92a1-28cb87c9c22b,123456,False,4,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],1,"{""Provider"":""MasterCard"",""Name"":""Francisco Vidal"",""Address"":""Av Italia 2020"",""Email"":""fvidal1977@hotmail.com"",""Identification"":""12345678"",""IdentificationType"":""0"",""ProviderCommerceNumber"":""20000012"",""Expiration"":""06/20""}","",97,"",9/19/2017 7:29:21 PM,"",Guillermo_purchase_20170919_4,"","",0,"",0,"","","","","","","","",100.00,"",a27921d2-6066-47a4-a087-00dc39b9c4c0,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,581f6dc9-59c0-4e0c-970b-54c3f27a8647
1598.39,0,"","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,1,RedPagos,1/19/2018 12:10:07 PM,1,"",2eb1116b-57c7-45a1-99e1-570b7b2d1845,"",False,13,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","{""Provider"":""Midinero"",""Email"":""darrua@redpagos.com.uy"",""Phone"":""23456789"",""Cellphone"":""096902352"",""Name"":""Diego Arrúa"",""LastName"":""Arrúa"",""FirstName"":""Diego"",""Birthdate"":""19930125"",""RedPagosUserEnabled"":""0"",""AccountNumber"":""2936469"",""RedPagosProductNumber"":""42"",""Identification"":""1234567-8"",""IdentificationType"":""0"",""Expiration"":""12/99"",""InstrumentName"":""2936469 - Midinero local pago de haberes""}",0,198,"",1/19/2018 12:10:07 PM,"",117139,"","",0,313,0,"","","","","","","","","","",85b02704-97ed-438d-b3be-00e29db1075c,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,01a6c380-80c7-491f-ba31-9cec8207c416
1546.00,0,"","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,1,RedPagos,12/27/2017 12:01:20 PM,1,"",69425b37-9311-4a66-8dd5-1edae3c306e6,"",False,13,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","{""Provider"":""Midinero"",""Email"":""mojeda@redpagos.com.uy"",""Phone"":""24568793"",""Cellphone"":""099456564"",""Name"":""Mariel Ojedaa"",""LastName"":""Ojedaa"",""FirstName"":""Mariel"",""Birthdate"":""19900114"",""RedPagosUserEnabled"":""1"",""AccountNumber"":""2936469"",""RedPagosProductNumber"":""42"",""Identification"":""2854554-5"",""IdentificationType"":""0"",""Expiration"":""12/99"",""InstrumentName"":""2936469 - Midinero local pago de haberes""}",0,95,"",12/27/2017 12:01:22 PM,"",106686,"","",0,199,0,"","","","","","","","","","",a14fb1ec-50b3-4efe-85c1-00f028ec581f,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,a95a4c34-9fa4-4103-a1f4-7bbf2a52a2db
12.00,0,12.00,"","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,20,24,SoyDelivery,11/15/2017 5:09:45 PM,1,1,9cb43511-4406-4946-b8d4-4d59382a7b8d,123459,False,19,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],6,"{""Provider"":""Midinero2"",""Name"":""Francisco Vidal"",""Address"":""Av Italia 2020"",""Email"":""fvidal@plexo.com.uy"",""Identification"":""3133733"",""IdentificationType"":""1"",""ProviderCommerceNumber"":""12345678"",""AccountNumber"":""9287138"",""RedPagosProductNumber"":""41"",""Expiration"":""12/99"",""InstrumentName"":""9287138 - Redpagos Local Pago De Haberes""}","","","",11/15/2017 5:10:06 PM,"",06110936,"",An error occurred during the operation process.TimeoutException The operation has timed out.,21,"",0,"","","","","","","","",10.00,"",057a9c66-9a9f-4f9e-b4f1-010f1bb862f2,1,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,279b7104-3207-45d3-89f9-45d604d9ffc0
122.76,"","","","","","","","","",System.Data.Entity.DynamicProxies.Client_BD6CFFBF214E958CEF667A19971E011E3BCF3D3D796FC25E764BA4708C0A1507,2,0,"",5/29/2017 8:08:42 PM,2,"",29daf753-a8b0-4cad-a0dd-541d9c7b41d7,"",False,0,System.Collections.Generic.HashSet`1[Plexo.Persistance.Item],"","","","","","","","","","","","","","","","","","","","","","","",ca69c00b-bcbf-4f74-b0b6-011110643f3c,0,System.Data.Entity.DynamicProxies.User_E03E60753A9E1E0B176164CFB936629D641440E8C0316A839F532D2BDB3A1A6F,a0a57f05-6772-4562-8197-de8a18b0801e
